,tags,1,new
0,"['fileDesc', 'titleStmt', 'title']",1794,"['fileDesc', 'title', 'titleStmt']"
1,"['publicationStmt', 'publisher', 'idno']",1794,"['publisher', 'idno', 'publicationStmt']"
2,"['date', 'availability', 'licence']",1794,"['availability', 'date', 'licence']"
3,"['line', 'choice', 'sic']",1,"['choice', 'sic', 'line']"
4,"['line', 'overw', 'under']",5,"['overw', 'under', 'line']"
5,"['overw', 'under', 'mod']",10,"['overw', 'under', 'mod']"
6,"['line', 'handShift', 'hi']",461,"['hi', 'line', 'handShift']"
7,"['line', 'space', 'fw']",1,"['space', 'fw', 'line']"
8,"['space', 'fw', 'handShift']",2,"['space', 'fw', 'handShift']"
9,"['anchor', 'space', 'handShift']",1,"['anchor', 'handShift', 'space']"
10,"['space', 'handShift', 'abbr']",3,"['space', 'abbr', 'handShift']"
11,"['line', 'handShift', 'abbr']",216,"['line', 'handShift', 'abbr']"
12,"['line', 'handShift', 'seg']",66,"['seg', 'line', 'handShift']"
13,"['line', 'handShift', 'app']",67,"['app', 'line', 'handShift']"
14,"['line', 'seg', 'gap']",1,"['seg', 'gap', 'line']"
15,"['line', 'handShift', 'mod']",319,"['mod', 'line', 'handShift']"
16,"['line', 'mod', 'handShift']",7,"['line', 'mod', 'handShift']"
17,"['handShift', 'seg', 'orig']",1,"['seg', 'orig', 'handShift']"
18,"['handShift', 'mod', 'unclear']",5,"['mod', 'unclear', 'handShift']"
19,"['anchor', 'mod', 'unclear']",13,"['anchor', 'unclear', 'mod']"
20,"['line', 'handShift', 'g']",163,"['line', 'handShift', 'g']"
21,"['handShift', 'mod', 'hi']",10,"['mod', 'hi', 'handShift']"
22,"['line', 'handShift', 'anchor']",73,"['anchor', 'line', 'handShift']"
23,"['space', 'handShift', 'mod']",9,"['space', 'mod', 'handShift']"
24,"['abbr', 'mod', 'hi']",3,"['hi', 'abbr', 'mod']"
25,"['line', 'handShift', 'orig']",10,"['orig', 'line', 'handShift']"
26,"['handShift', 'mod', 'orig']",1,"['mod', 'orig', 'handShift']"
29,"['line', 'handShift', 'ins']",224,"['ins', 'line', 'handShift']"
30,"['line', 'handShift', 'damage']",63,"['damage', 'line', 'handShift']"
32,"['anchor', 'hi', 'mod']",7,"['anchor', 'hi', 'mod']"
33,"['line', 'mod', 'app']",27,"['app', 'line', 'mod']"
34,"['line', 'handShift', 'overw']",37,"['overw', 'line', 'handShift']"
35,"['line', 'hi', 'overw']",2,"['overw', 'hi', 'line']"
36,"['line', 'handShift', 'date']",23,"['date', 'line', 'handShift']"
37,"['line', 'handShift', 'gap']",64,"['gap', 'line', 'handShift']"
38,"['handShift', 'mod', 'app']",5,"['app', 'mod', 'handShift']"
39,"['handShift', 'anchor', 'mod']",58,"['anchor', 'mod', 'handShift']"
40,"['anchor', 'mod', 'app']",23,"['anchor', 'app', 'mod']"
41,"['line', 'handShift', 'num']",21,"['num', 'line', 'handShift']"
43,"['line', 'handShift', 'retrace']",130,"['line', 'handShift', 'retrace']"
45,"['handShift', 'seg', 'mod']",3,"['seg', 'handShift', 'mod']"
46,"['under', 'gap', 'unclear']",1,"['under', 'gap', 'unclear']"
47,"['line', 'abbr', 'hi']",200,"['hi', 'line', 'abbr']"
50,"['handShift', 'gap', 'seg']",1,"['seg', 'gap', 'handShift']"
51,"['over', 'handShift', 'retrace']",72,"['over', 'handShift', 'retrace']"
52,"['line', 'space', 'handShift']",20,"['space', 'line', 'handShift']"
53,"['line', 'anchor', 'mod']",41,"['anchor', 'line', 'mod']"
54,"['app', 'lem', 'overw']",5,"['overw', 'app', 'lem']"
55,"['overw', 'under', 'unclear']",4,"['overw', 'under', 'unclear']"
56,"['line', 'fw', 'handShift']",106,"['fw', 'line', 'handShift']"
57,"['fw', 'handShift', 'num']",29,"['fw', 'num', 'handShift']"
58,"['handShift', 'ins', 'abbr']",2,"['ins', 'abbr', 'handShift']"
59,"['line', 'abbr', 'mod']",5,"['line', 'mod', 'abbr']"
61,"['handShift', 'fw', 'abbr']",17,"['fw', 'abbr', 'handShift']"
62,"['line', 'mod', 'ins']",2,"['ins', 'line', 'mod']"
63,"['mod', 'ins', 'unclear']",1,"['ins', 'unclear', 'mod']"
64,"['line', 'mod', 'hi']",18,"['hi', 'line', 'mod']"
65,"['line', 'handShift', 'grLine']",79,"['line', 'handShift', 'grLine']"
66,"['seg', 'mod', 'unclear']",2,"['seg', 'unclear', 'mod']"
67,"['anchor', 'handShift', 'abbr']",2,"['anchor', 'abbr', 'handShift']"
69,"['seg', 'handShift', 'abbr']",1,"['seg', 'abbr', 'handShift']"
70,"['overw', 'under', 'gap']",10,"['overw', 'under', 'gap']"
71,"['under', 'gap', 'over']",10,"['over', 'under', 'gap']"
72,"['handShift', 'abbr', 'hi']",69,"['hi', 'abbr', 'handShift']"
74,"['lem', 'seg', 'handShift']",1,"['lem', 'seg', 'handShift']"
76,"['line', 'choice', 'orig']",3,"['choice', 'orig', 'line']"
77,"['line', 'handShift', 'choice']",13,"['choice', 'line', 'handShift']"
78,"['handShift', 'choice', 'orig']",2,"['choice', 'orig', 'handShift']"
79,"['mod', 'choice', 'sic']",1,"['choice', 'sic', 'mod']"
80,"['line', 'handShift', 'unclear']",46,"['line', 'handShift', 'unclear']"
81,"['ins', 'handShift', 'retrace']",14,"['ins', 'handShift', 'retrace']"
84,"['handShift', 'mod', 'retrace']",2,"['mod', 'handShift', 'retrace']"
85,"['line', 'abbr', 'app']",11,"['app', 'line', 'abbr']"
88,"['handShift', 'g', 'space']",14,"['space', 'handShift', 'g']"
92,"['handShift', 'hi', 'abbr']",52,"['hi', 'handShift', 'abbr']"
93,"['line', 'handShift', 'grBrace']",5,"['grBrace', 'line', 'handShift']"
94,"['line', 'damage', 'unclear']",8,"['damage', 'line', 'unclear']"
95,"['handShift', 'date', 'hi']",3,"['date', 'hi', 'handShift']"
96,"['date', 'hi', 'choice']",1,"['choice', 'date', 'hi']"
98,"['handShift', 'ins', 'anchor']",11,"['anchor', 'ins', 'handShift']"
99,"['space', 'handShift', 'app']",3,"['space', 'app', 'handShift']"
100,"['handShift', 'fw', 'hi']",5,"['fw', 'hi', 'handShift']"
101,"['space', 'handShift', 'seg']",1,"['space', 'seg', 'handShift']"
102,"['handShift', 'ins', 'mod']",7,"['mod', 'ins', 'handShift']"
104,"['under', 'mod', 'gap']",74,"['under', 'gap', 'mod']"
106,"['line', 'mod', 'gap']",11,"['gap', 'line', 'mod']"
107,"['grLine', 'space', 'retrace']",1,"['space', 'retrace', 'grLine']"
108,"['line', 'mod', 'retrace']",1,"['line', 'mod', 'retrace']"
109,"['handShift', 'mod', 'gap']",14,"['mod', 'gap', 'handShift']"
110,"['line', 'space', 'num']",1,"['space', 'num', 'line']"
111,"['under', 'gap', 'c']",1,"['under', 'gap', 'c']"
112,"['mod', 'hi', 'abbr']",7,"['hi', 'mod', 'abbr']"
113,"['line', 'date', 'abbr']",1,"['date', 'line', 'abbr']"
114,"['line', 'date', 'choice']",1,"['choice', 'date', 'line']"
117,"['line', 'mod', 'unclear']",9,"['line', 'mod', 'unclear']"
118,"['handShift', 'fw', 'mod']",3,"['fw', 'mod', 'handShift']"
119,"['g', 'anchor', 'space']",1,"['anchor', 'g', 'space']"
120,"['line', 'date', 'num']",1,"['date', 'num', 'line']"
121,"['line', 'app', 'lem']",7,"['app', 'lem', 'line']"
122,"['hi', 'overw', 'under']",3,"['overw', 'under', 'hi']"
123,"['space', 'handShift', 'anchor']",4,"['space', 'anchor', 'handShift']"
